L|attention|C192|T1024,"void flash_attn_int8_mma_kernel_t<(int)32, (int)8, (int)32, (bool)1, (bool)1, (bool)0, (bool)0, (int)24, (int)1024>(const signed char *, const signed char *, const signed char *, const float *, const float *, const float *, __half *, int, int, int, int, int, float, signed char *, float, int, float, const __half *, int, float, const signed char *, int)",132887073.0
L|attention|C192|T1024,"void gemm_w4a4_kernel_awq_out_i8<(int)1>(const signed char *, const signed char *, const float *, float, const float *, signed char *, int, int, int, const __half *, int, int, int, float, float, const float *, const float *, signed char *, signed char *, signed char *, int, int)",56045234.0
L|resblock_plain|C384|T1024,"void group_norm_silu_quantize_pack_nhwc_vec2_kernel<__half, (bool)0>(const T1 *, signed char *, const T1 *, const T1 *, const T1 *, const T1 *, const float *, const float *, int, long, int, float, bool, int)",48609957.0
,"cat2_channels_last_fp16_kernel(const __half *, const __half *, __half *, long, int, int)",38190829.0
L|resblock_plain|C192|T1024,"void group_norm_silu_quantize_pack_nhwc_vec2_kernel<__half, (bool)0>(const T1 *, signed char *, const T1 *, const T1 *, const T1 *, const T1 *, const float *, const float *, int, long, int, float, bool, int)",37696740.0
L|attention|C384|T256,"void gemm_w4a4_kernel_awq_out_i8<(int)3>(const signed char *, const signed char *, const float *, float, const float *, signed char *, int, int, int, const __half *, int, int, int, float, float, const float *, const float *, signed char *, signed char *, signed char *, int, int)",32509442.0
L|attention|C192|T1024,"gemm_w4a4_kernel_awq(const signed char *, const signed char *, const float *, float, __half *, int, int, int, int, const __half *, const __half *)",31957793.0
L|resblock_plain|C576|T1024,"void group_norm_silu_quantize_pack_nhwc_vec2_kernel<__half, (bool)0>(const T1 *, signed char *, const T1 *, const T1 *, const T1 *, const T1 *, const float *, const float *, int, long, int, float, bool, int)",30402809.0
L|resblock_plain|C768|T256,"void group_norm_silu_quantize_pack_nhwc_vec2_kernel<__half, (bool)0>(const T1 *, signed char *, const T1 *, const T1 *, const T1 *, const T1 *, const float *, const float *, int, long, int, float, bool, int)",29896755.0
L|attention|C192|T1024,"void group_norm_silu_quantize_pack_nhwc_vec2_kernel<__half, (bool)1>(const T1 *, signed char *, const T1 *, const T1 *, const T1 *, const T1 *, const float *, const float *, int, long, int, float, bool, int)",26334527.0
